nom_structure;type_structure;ville;temps_depuis_villetaneuse;niveau_minimum;domaines_formations_ia_marketing;intitule_poste_formateur;type_contrat;lien_source;contact_recrutement;remarques
Epitech Digital;école digitale;Paris 11e;~40;Bachelor;Marketing digital & influence, MBA marketing digital, tech, IA;;;https://www.epitech.digital/master-marketing-influence/;Non indiqué;Groupe Ionis — intervenants professionnels — candidature spontanée recommandée
ESM-A — École Supérieure de Management en Alternance;école de management;Marne-la-Vallée;~50;Bachelor (BBA);Management, commerce, marketing;Intervenant professionnel;Non précisé;https://esm-a.eu/;Non indiqué;100% alternance — BBA (Bac+3) et Grande École Bac+5 — candidature spontanée
Groupe GEMA — IA School & ESI Business School;école IA / école de commerce;Boulogne-Billancourt;~45;Bachelor;Management IA, marketing IA, IA générative business, social media IA, cybersécurité;Intervenant / Formateur — Management IA, Marketing IA;Vacataire;https://www.groupe-gema.com/le-groupe-gema/recrutement/intervenant-formateur/;https://groupe-gema.welcomekit.co/;Recrutement permanent et actif — 4 000 étudiants — parfaitement aligné avec les intitulés ciblés
IA School (Groupe GEMA);école spécialisée IA;Boulogne-Billancourt;~45;Bachelor;IA générative business, social media IA, management d'équipes IA, prompt engineering;Intervenant / Formateur en IA;Vacataire;https://www.intelligence-artificielle-school.com/intervenant/;https://www.intelligence-artificielle-school.com/recrutement-2/;Recrutement permanent — page dédiée intervenants — intitulés cours très proches des modules ciblés
EFAP Paris;école de communication;Paris;~35;Master (Bac+5);MBA Digital Marketing & Business IA & Data, marketing stratégique, SEO;Intervenant rentrée 2025-2026 — marketing digital, IA & Data;Vacation;https://alumni.efap.com/fr/news/recherche-d-intervenants-pour-la-rentree-2025-a-paris-77?id_details_groupe=19;Formulaire alumni;Annonce active — MBA Digital Marketing & Business IA & Data en cours de renforcement pédagogique
ISC Paris;école de commerce;Paris;~35;Master (Bac+5);Marketing digital, négociation, communication, stratégie;Professeur vacataire — marketing digital, communication;Vacataire;https://www.iscparis.com/recrutement/;CV + LM + domaine à envoyer via formulaire;Recrutement vacataires via candidature directe sur site
Excelia Group (campus Paris);école de commerce;Paris;~35;Bachelor / Master;Marketing (Bachelor et Master), commerce international;Intervenant Extérieur Marketing F/H;Intervenant extérieur;https://jobs.excelia-group.fr/jobs/7557389-intervenant-exterieur-marketing-f-h;Formulaire offre;Annonce identifiée — cours ponctuels Bachelor et Master
IAE Paris-Sorbonne;université;Paris 13e;~35;Master (Bac+5);Marketing, gestion, communication, management;Chargé d'enseignement vacataire — marketing, gestion;Vacataire;https://www.iae-paris.com/fr/liae-paris-sorbonne/travailler-liae-paris-sorbonne;8 bis rue de la Croix Jarry, 75013 Paris (courrier);Recrutement ouvert en permanence — lettre + CV à envoyer au secrétariat
CNAM Île-de-France;organisme de formation / université;Paris 3e;~35;Master (Bac+5);IA générative, management, disciplines numériques;Formateur vacataire IA générative (NFP106);Vacataire (max 192h/an);https://cnam-idf.fr/recrutement;https://cnam-idf.fr/recrutement;Poste identifié sur LinkedIn (30 avril 2026) — payé en fin d'exécution — profil Master ou ingénieur requis
Mister IA;organisme de formation privé;Paris;~35;Formation continue;IA générative, prompt engineering, transformation des entreprises par l'IA;Formateur/Formatrice en IA générative;CDI;https://www.welcometothejungle.com/fr/companies/mister-ia;Formulaire Welcome to the Jungle;CDI — organisme en forte croissance (3 → 100 collaborateurs, 30 000 personnes formées)
IUT Dijon-Auxerre-Nevers;université / IUT;Dijon;>1h;Formation continue pro;IA pour les professionnels (projet CAIRE, parcours hybride IA);Formateur en intelligence artificielle pour professionnels;CDD public;https://choisirleservicepublic.gouv.fr/offre-emploi/formateur-en-intelligence-artificielle-pour-les-professionnels-reference-2026-2250506/;Portail service public;Hors périmètre géographique mais offre très ciblée sur IA appliquée — signalé pour référence
Jedha;bootcamp / école data;Paris;~35;Formation continue;Prompt engineering, data science, IA;;;https://www.jedha.co/formations/formation-prompt-engineer;Non indiqué;Formation Prompt Engineer — candidature spontanée formateur recommandée
La Capsule;école no-code / tech;Paris;~35;Formation continue;No-code, automation, IA maker;;;https://www.lacapsule.academy/formation-no-code-maker;Non indiqué;Formation No-Code & IA — profil formateur automation / no-code pertinent
École Cube;école no-code;Paris;~35;Formation continue;No-code, prompt engineering, automatisation;;;https://www.ecole.cube.fr/formation-nocode;Non indiqué;Formation No-Code & Prompt Engineering — candidature spontanée recommandée
CCI Paris Île-de-France;organisme de formation consulaire;Paris;~35;Formation continue;Agents IA, marketing B2B, prospection IA, vente IA;;;https://www.entreprises.cci-paris-idf.fr/offres/formation-creer-ses-agents-ia-pour-la-vente-la-prospection-le-marketing-b2b;Non indiqué;Formation "Créer ses agents IA pour la vente, la prospection et le marketing B2B" — très aligné
HEC Paris Executive Education;grande école / formation continue;Jouy-en-Josas;~50;Formation continue (Bac+5);IA & Data en marketing et ventes, décision stratégique augmentée;;;https://www.hec.edu/en/executive-education/ia-data-en-marketing-et-ventes;Non indiqué;Programme IA & Data Marketing — intervenants experts — candidature spontanée
Sciences Po Executive Education;grande école / formation continue;Paris 7e;~35;Formation continue (Bac+5);IA pour communication et marketing, décision stratégique;;;https://www.sciencespo.fr/executive-education/en/programmes-for-individuals/short-programmes/exploring-ai-for-communication-and-marketing-professionals/;Non indiqué;Programme IA pour communication & marketing — profil stratégie & branding IA pertinent
IMT Business School Executive;école d'ingénieur / formation continue;Évry;~50;Formation continue (Bac+5);Intelligence artificielle & data marketing, analytics prédictif;;;https://executive-education.imt-bs.eu/formation/intelligence-artificielle-et-data-marketing/;Non indiqué;Formation IA & Data Marketing — très proche de "Marketing Analytics et IA Prédictive"
EMS — Epinay Management School;CFA / école de commerce;Épinay-sur-Seine;~10;Bachelor;Marketing, commerce, management, marketing analytics;Formateur vacataire marketing et commerce;Non précisé;https://ems-epinay.com/bachelor-responsable-marketing-et-commercial;01 84 21 01 51 — ems-epinay.com;Bachelor Responsable Marketing et Commercial + Masters of Science (Marketing, Data, Finance) — proche des intitulés ciblés
Excellence Business School;CFA / école de commerce;Épinay-sur-Seine;~10;Bachelor;Marketing, commerce, ingénierie commerciale;;;https://www.excellence-bs.com/bachelor-commerce-marketing;Formulaire de contact — excellence-bs.com;Formateurs professionnels en activité (Google, Amazon, Microsoft mentionnés) — candidature spontanée recommandée
EANOV School;école privée (métiers du son);Épinay-sur-Seine;~10;Bachelor (Licence niv. 2);Audio, production, ingénierie du son;;;https://eanovschool.com/;contact@eanovschool.com — 01 49 51 92 85;Hors périmètre marketing/IA — signalé pour exhaustivité géographique
FCIA Formation;organisme de formation (association);Épinay-sur-Seine;~10;Formation continue;Formation professionnelle adultes, insertion professionnelle, CIP;;;https://fciaformation.org/;contact@fciaformation.org — 09 50 89 63 61;Certifié Qualiopi — recrute formateurs FPA et CIP — contact direct
GRETA MTE 93;GRETA (réseau éducation nationale);Saint-Denis;~15;CAP à Bac+3;Commerce, tertiaire, bureautique, logistique, FLE;Formateur vacataire (offres France Travail actives);Vacataire;https://www.forpro-creteil.org/recrutement/nos-offres-d-emploi/;https://candidat.francetravail.fr/offres/emploi/formateur/seine-saint-denis/s20m22d93;GRETA MTE 93 — 15 av. Jean Moulin Saint-Denis — offres formateurs publiées sur France Travail
CFM France — Campus Formations & Métiers;centre de formation privé;Bobigny;~15;Bac+2 à Bac+3;Commerce, management, BTS MCO, NDRC;;;https://cfmfrance.fr/;contact@cfmfrance.fr — 01 48 32 30 30;8 rue Primo Lévi, 93000 Bobigny — 5 km de Villetaneuse — campus 2100m² — candidature spontanée directe
AFPA — Centre de Stains;organisme de formation (établissement public);Stains;~10;Formation qualifiante;Construction, industrie, services — 14 formations qualifiantes;Formateur (offres Hellowork actives);Non précisé;https://www.afpa.fr/nous-rejoindre;https://www.hellowork.com/fr-fr/entreprises/afpa-22669/ville_stains-93240.html — 09 72 72 39 36;1 rue de la Citoyenneté, 93240 Stains — 3 km de Villetaneuse — 1190 stagiaires/an — taux réussite 89%
CNAM IDF — Centre de Saint-Denis;organisme de formation / université;Saint-Denis;~15;Master (Bac+5);Marketing digital, IA générative, management, disciplines numériques;Formateur vacataire IA générative (NFP106);Vacataire (max 192h/an);https://cnam-idf.fr/recrutement;candidature-spontanee@lecnam.net;61 rue du Landy, 93210 La Plaine Saint-Denis — recrutement permanent — profil Bac+5 ou ingénieur requis
CFA CNAM IDF;CFA / organisme de formation;La Plaine-Saint-Denis;~15;Bachelor à Master;Marketing digital, gestion, comptabilité, entrepreneuriat, humanités numériques;;;https://cfa-idf.cnam.fr;cfa-idf@cnam.fr — 01 58 80 83 61;61 rue du Landy, 93114 La Plaine Saint-Denis — 120 enseignants-chercheurs et formateurs professionnels
Université Paris 8 — Vincennes-Saint-Denis;université;Saint-Denis;~20;Licence à Doctorat;Sciences humaines et sociales, informatique, arts, langues;Chargé d'enseignement vacataire;Vacataire;https://nous-recrutons.univ-paris8.fr/offres-emploi/;https://www.univ-paris8.fr/Vacataires-inscriptions-8874;2 rue de la Liberté, 93526 Saint-Denis — dossier vacataire à soumettre avant toute intervention — renouvellement annuel
EICAR — École Internationale de Création Audiovisuelle;école supérieure (audiovisuel);La Plaine-Saint-Denis;~15;Bac+2 à Bac+5;Audiovisuel, cinéma, réalisation, son, production;;;https://www.eicar.fr/;kharoufa.boudjakdji@eicar.fr — 01 49 98 11 11;50 av. du Président Wilson Bât.136, 93214 La Plaine — hors marketing/IA mais intervenants professionnels recherchés
INSPe Académie de Créteil — campus Saint-Denis;INSPE (formation enseignants);Saint-Denis;~20;Master (MEEF Bac+5);Formation initiale et continue des enseignants;Vacataire / chargé de cours;Vacataire;https://inspe.u-pec.fr/l-inspe/recrutement-1;Formulaire recrutement INSPE;Campus Saint-Denis rattaché à l'UPEC — recrute professionnels pour missions ponctuelles d'enseignement
M2i Formation — Centre Saint-Denis;centre de formation (IT/digital);Saint-Denis;~15;Formation continue (certifiante);Informatique, IA, digital, management, soft skills;Formateur expert (IA, digital, management);Freelance / indépendant;https://www.m2iformation.fr/devenir-formateur-expert-m2i-formation/;cpf@m2iformation.fr;Adresse Saint-Denis confirmée : m2iformation.fr/centre-de-formation/saint-denis/205/ — recrutement formateurs actif
FMS — Formation Management Sécurité;organisme de formation;Saint-Denis;~15;Formation continue;Sécurité, management, formations professionnelles;;;https://fms-formation.com/;Formulaire contact fms-formation.com;175 bd Anatole France, 93200 Saint-Denis — 7 salles sur 480m² — proximité Carrefour Pleyel
BTP CFA Saint-Denis;CFA (BTP);Saint-Denis;~15;Bac Pro à Bac+2;Bâtiment, travaux publics, électricité, plomberie, métallerie;;;https://btpcfa-iledefrance.fr/notre-reseau/btp-cfa-saint-denis/;01 49 71 30 30;21 rue Prairial, 93200 Saint-Denis — hors périmètre IA/marketing mais recrutement formateurs via direction pédagogique
CFA Union — BUT TC MDEE Saint-Denis;CFA;Saint-Denis;~15;Bachelor (BUT);Marketing digital, e-business, CRM, entrepreneuriat;;;https://site.cfa-union.org/formations/fiche/156;cfa-union.org;BUT Techniques de Commercialisation parcours Marketing Digital & E-business — en apprentissage
ISCOD — recrutement interne;école digitale / en ligne;Saint-Denis;~20;Bachelor à Master;Marketing IA, communication, management, digital, RH;Formateur / tuteur pédagogique;Non précisé;https://recrutement.iscod.fr/;recrutement.iscod.fr — iscod.fr/contact;100% alternance en ligne — recrutement formateurs et tuteurs via page dédiée
GRETA Val d'Oise — Enghien-les-Bains;GRETA (réseau éducation nationale);Enghien-les-Bains;~20;CAP à Bac+3;Commerce, tertiaire, bureautique, bilan de compétences, VAE;Formateur vacataire;Vacataire;https://www.greta-95.fr/;01 34 48 59 00 — greta-95.fr;Lycée Gustave Monod, Enghien-les-Bains (95880) — couvre tout le Val d'Oise — offres actives
ORSYS Formation;organisme de formation (IT/numérique);La Défense;~25;Formation continue;IA, automatisation, numérique, cybersécurité, management;Formateur IA (offre active sur Taleez);Freelance;https://taleez.com/apply/formateur-en-intelligence-artificielle-paris-orsys;Formulaire Taleez;1 Parvis de La Défense, 92044 — 2500+ formations, 40 centres France — offre formateur IA active
M2i Formation — Paris / La Défense;centre de formation (IT/numérique);La Défense;~25;Formation continue;Informatique, IA, digital, management;Formateur expert IA et digital;Freelance / indépendant;https://www.m2iformation.fr/devenir-formateur-expert-m2i-formation/;cpf@m2iformation.fr — macarriere.m2iformation.fr/offres/;Groupe Skolae — formateurs indépendants sur toute la France — partenariat long terme
Demos Formation;organisme de formation (management/RH);Paris;~30;Formation continue;Management, droit social, RH, CSE, soft skills;Formateur expert (600+ formateurs réseau);Freelance;https://www.demos.fr/devenir-formateur-demos/;Formulaire en ligne — demos.fr/carriere/;Envoyer CV + NDA + remplir formulaire — 600 formateurs experts indépendants
Cegos;organisme de formation (leader international);Paris;~30;Formation continue;Management, RH, IT, soft skills, marketing;Formateur expert accrédité;Freelance / CDI;https://recrutement.cegos.com/;recrutement.cegos.com;Leader international — processus d'accréditation qualité spécifique — 1000 formateurs
EduGroupe;centre de formation (IT/bureautique);Paris (Porte Maillot);~30;Formation continue;Informatique, bureautique, digital;Consultant-formateur indépendant;Freelance;https://edugroupe.com/postuler/;edugroupe.com/nous-rejoindre/ — formulaire;Bac+3/+5 requis + 2-5 ans d'expérience — 3 min Métro ligne 1
Dawan;organisme de formation (IT);Paris;~30;Formation continue;Développement, réseaux, web, informatique;Formateur consultant IT;Freelance;https://www.dawan.fr/recrutements/offres;dawan.fr/recrutements/offres;Formateurs sur toute la France dont Île-de-France
Walter Learning;organisme de formation (en ligne);Paris;~30;Formation continue;Formation professionnelle en ligne multi-secteurs;Formateur / expert pédagogique;Non précisé;https://walter-learning.com/carrieres;walter-learning.com/carrieres;100 000+ formations vendues — Paris, Marseille, Montpellier + international
Formaposte Île-de-France;CFA (Groupe La Poste);Paris / IDF;~30;Apprentissage BTS à Master;Métiers La Poste — courrier, numérique, banque, colis;Formateur interne;CDI;https://www.hellowork.com/fr-fr/entreprises/formaposte-ile-de-france-15488.html;Hellowork — France Travail;CFA pour les métiers du Groupe La Poste — formateurs internes principalement
CFA Stephenson;CFA / école de commerce;Paris 18e;~30;Bachelor;Marketing digital, BTS MCO, BTS NDRC, responsable performance commerciale;Formateur Bachelor Marketing Digital;Non précisé;https://www.cfa-stephenson.fr/formations/bachelor-marketing-digital-alternance/;Formulaire site — 01 44 92 88 88;48 rue Stephenson 75018 Paris — Bachelor Marketing Digital RNCP niveau 6 — très proche des intitulés ciblés
HETIC — La Grande École du Web;école digitale;Montreuil (93100);~40;Bachelor;Marketing digital, UX, data & IA, webmarketing, mastère marketing digital;Formateur / intervenant professionnel;Non précisé;https://www.hetic.net/formations/bachelor-webmarketing;contact@hetic.net — 01 59 13 32 81;27 bis rue du Progrès 93100 Montreuil — n°1 bachelor web & digital marketing — candidature spontanée
ORT France — campus Montreuil;CFA / école de commerce;Montreuil (93100);~40;Bachelor;Marketing digital, e-commerce, acquisition numérique, e-business;;;https://ort-france.fr/formation/bachelor-cmdec/;ort-france.fr — Formulaire JPO;Bachelor CMDEC (Marketing Digital & E-Commerce) + Bachelor RMCAN (Acquisition Numérique) — ouvert depuis 2024 — RNCP niveau 6
ICMD — Institut de Communication & Marketing Digital;école digitale;Paris 11e;~35;Bachelor;Communication, marketing digital, e-commerce;;;https://www.icmd.fr/;contact@icmd.fr — 01 84 17 60 55;54 av. Philippe Auguste 75011 Paris — Bachelor Responsable Commarketing Digital (Bac+3) — fondée 2020 petite structure
ISCG Paris;école de commerce;Paris 1er/4e;~35;Bachelor;Marketing & communication digitale, commerce, e-commerce;;;https://www.iscg.fr/;contact@iscg.fr — 01 43 54 98 32;45 rue de Rivoli 75001 Paris — Bachelor Marketing & Communication Digitale en alternance ou initial — depuis 1993
EPB — École de Formation en Alternance;CFA / école de commerce;Gentilly (94250);~45;Bachelor;Marketing digital, développement commercial, communication;;;https://www.epb.paris/bachelor-marketing-digital/;contact@epb.paris — 01 77 22 22 21;Gentilly 94250 — Bachelor Marketing Digital RNCP niveau 6 — RER B
Media Institute;CFA / école digitale;Paris 1er;~35;Bachelor;Marketing digital & IA, SEO/SEA/SMO, social media, analytics, IA appliquée;Formateur Marketing Digital & IA;Non précisé;https://www.media-institute.com/alternance/;contact@media-institute.com — 01 43 12 15 20;21 rue Auber 75001 Paris — CFA spécialisé media & digital — page recrutement entreprises disponible
Mantra (ex-GrowthMakers);organisme de formation;Paris;~35;Formation continue;Growth Marketing & IA, IA générative marketing, prompt engineering;Formateur IA & IA générative (recrutement actif freelance);Freelance;https://growthmakers.welcomekit.co/jobs/formateur-ia-et-ia-generative_paris;laurian@growthmakers.fr;Structure indépendante — recrute explicitement formateurs/consultants IA freelance — 1700+ pros formés — très aligné avec intitulés ciblés
KAP FAC;organisme de formation (Qualiopi);Sannois (95600);~25;Formation continue;IA générative, CPF, bilan de compétences;;;https://www.kapfac.com/formations/formation-ia;Formulaire kapfac.com;Sannois Val-d'Oise — petite structure QUALIOPI spécialisée IA — peu connue des grands annuaires
Iaptitudes;organisme de formation (Qualiopi);Paris (Opéra);~35;Formation continue;IA générative, formations IA présentiel tous niveaux;;;https://iaptitudes.fr/;Formulaire iaptitudes.fr;Paris Opéra — 100% présentiel — QUALIOPI — positionnement rare IA présentiel
Skillevos;organisme de formation (Qualiopi);Île-de-France;~35;Formation continue;IA générative, ChatGPT, prompt engineering, RS6776 CPF;;;https://www.skillevos.fr/;Formulaire skillevos.fr;IDF — QUALIOPI + Activateur France Num — 5 formateurs praticiens — présentiel et distanciel
ALL-TODIGITAL;organisme de formation;Paris 12e;~35;Formation continue;No-code (Zapier, Notion, ChatGPT), automation tâches administratives, IA;;;https://www.intercariforef.org/formations/automatiser-ses-taches-administratives-avec-les-outils-no-code-zapier-notion-chatgpt/all-todigital/formation-14_AF_0000233813_SE_0001793247.html;Via Carif-Oref IDF;61 rue de Lyon 75012 Paris — entrée/sortie permanente — financement possible — très aligné CRM & automation no-code
Certalis;organisme de formation (Qualiopi);Paris 8e;~35;Formation continue;Growth hacking, marketing digital, cybersécurité;;;https://www.certalis.com/formations/growth-hacking-accelerer-sa-croissance-digitale;Formulaire certalis.com;Paris 8e — QUALIOPI — petite structure spécialisée growth/digital — candidature spontanée
CIFACOM;CFA (audiovisuel/numérique);Paris 19e;~30;Bachelor;Design graphique, motion design, production audiovisuelle, direction de production;;;https://www.cifacom.com/nos-intervenants;contact@cifacom.com — 01 41 72 08 08;20 rue de Bellevue 75019 Paris — Bac+2 à Bac+5 RNCP — page intervenants sur le site
CFA INSTA;CFA (informatique);Paris 2e;~35;Bachelor;Informatique, développement, comptabilité, alternance Bac+3 à Bac+5;;;https://cfa-insta.fr/campus-paris-sentier/;contact@cfa-insta.fr — 01 43 41 72 50;12 rue Cléry 75002 Paris — 100+ intervenants issus du monde pro et universitaire — candidature spontanée
H3 Hitema;école d'informatique;Paris 15e;~50;Bachelor;Informatique, cybersécurité, cloud, data, IA, objets connectés, Bac+3 à Bac+5;;;https://www.h3hitema.fr/;contact@h3hitema.fr — 01 41 33 04 70;34 bis rue du Cotentin 75015 Paris — alternance — candidature spontanée
Web School Factory;école digitale;Paris 14e;~50;Bachelor;Webmarketing & innovation, webdesign, IT, mastères spécialisés marketing digital;;;https://www.webschoolfactory.fr/;Via site + LinkedIn/Hellowork — 01 40 09 04 10;96 rue Didot 75014 Paris — Bachelor Webmarketing & Innovation — initial et alternance
Nexa Digital School (ex-Doranco);école digitale;Paris 10e;~35;Bachelor;Développement web, IA, cybersécurité, marketing digital, master IA, master marketing digital;Formateur / intervenant;Non précisé;https://www.nexa.fr/entreprise/pour-les-entreprises;Via formulaire nexa.fr — entreprise;44 bis Quai de Jemmapes 75010 Paris — Qualiopi — taux placement 92% — Bachelor & Master Marketing Digital et IA
VISIPLUS academy;organisme de formation (e-learning);Paris 15e;~50;Bachelor (Executive);Marketing digital, RH, commerce, développement web, MBA;Formateur distanciel;Non précisé;https://recrutement.visiplus.com;recrutement.visiplus.com;Paris 15e — majoritairement en ligne — Executive Bachelor Bac+3/4 et MBA Bac+5 — 300 modules
